,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,L_rostralanteriorcingulate_cortex,L_rostralanteriorcingulate_cortex,L_thalamus,L_thalamus,L_hippocampus,R_rostralanteriorcingulate_cortex,R_rostralanteriorcingulate_cortex,R_thalamus,R_hippocampus,L_rostralanteriorcingulate_cortex,L_thalamus,L_hippocampus,L_amygdala,L_rostralanteriorcingulate_cortex,L_hippocampus,L_amygdala
1,L_thalamus,L_amygdala,L_hippocampus,R_hippocampus,L_amygdala,R_thalamus,R_amygdala,R_hippocampus,R_amygdala,R_thalamus,R_rostralanteriorcingulate_cortex,R_thalamus,R_rostralanteriorcingulate_cortex,R_amygdala,R_amygdala,R_hippocampus
124220,18.0,11.0,429.0,,22.0,822.0,412.0,1910.0,1061.0,1.0,,4.0,,,,
124624,171.0,2332.0,1800.0,,3471.0,74.0,303.0,599.0,1378.0,1.0,2.0,,,4.0,49.0,
124826,1819.0,640.0,4326.0,29.0,933.0,1180.0,453.0,3663.0,833.0,1.0,106.0,12.0,24.0,,,
125424,9.0,3774.0,993.0,1.0,2921.0,35.0,370.0,796.0,187.0,,,1.0,,,,
126325,302.0,1101.0,1597.0,,2102.0,47.0,121.0,954.0,114.0,,,,,,1.0,
126426,102.0,26.0,596.0,1.0,29.0,236.0,486.0,949.0,534.0,8.0,,73.0,1.0,,,
126628,13.0,,119.0,15.0,64.0,457.0,359.0,399.0,264.0,,31.0,,1.0,,,
127226,279.0,551.0,6153.0,,1981.0,20.0,96.0,451.0,52.0,,,,,,,
127630,63.0,1.0,228.0,10.0,26.0,638.0,201.0,1205.0,873.0,,,,,,5.0,
127731,49.0,104.0,868.0,11.0,113.0,247.0,429.0,738.0,326.0,,,,1.0,,,
127832,5.0,473.0,478.0,,1401.0,17.0,162.0,246.0,371.0,,2.0,2.0,,,,
127933,39.0,54.0,439.0,9.0,280.0,561.0,483.0,1273.0,1503.0,,1.0,,,,11.0,
128026,344.0,393.0,764.0,,998.0,207.0,730.0,612.0,146.0,,,80.0,,,,
128632,310.0,32.0,997.0,,332.0,850.0,329.0,1863.0,281.0,1.0,,1.0,,,,
128935,88.0,185.0,233.0,,400.0,47.0,94.0,115.0,134.0,,,,,,,
129028,8.0,6.0,183.0,1.0,11.0,35.0,400.0,2005.0,2613.0,,1.0,,,,,
129331,42.0,442.0,1427.0,7.0,158.0,298.0,583.0,363.0,350.0,,7.0,,,,,
129634,10.0,20.0,301.0,363.0,1.0,402.0,1360.0,1601.0,1299.0,2.0,71.0,1.0,1.0,,10.0,15.0
129937,8.0,35.0,467.0,7.0,40.0,1749.0,1368.0,4034.0,1300.0,10.0,6.0,2.0,,10.0,4.0,
130013,134.0,1249.0,2636.0,14.0,2464.0,101.0,171.0,1919.0,655.0,,22.0,,7.0,94.0,24.0,29.0
130114,13.0,301.0,1146.0,,534.0,48.0,92.0,324.0,159.0,,,,,,4.0,
130316,106.0,139.0,628.0,,928.0,890.0,552.0,1378.0,757.0,,,71.0,21.0,,198.0,30.0
130417,1423.0,2405.0,1939.0,,1219.0,90.0,970.0,691.0,116.0,,1.0,,,,,
130619,65.0,584.0,790.0,,721.0,72.0,188.0,1789.0,666.0,,84.0,,,,,
130720,369.0,188.0,1678.0,,749.0,101.0,692.0,2399.0,1848.0,,,13.0,,,,2.0
130821,277.0,505.0,1016.0,,910.0,3.0,228.0,231.0,63.0,5.0,,,,,,
131217,77.0,718.0,1727.0,1.0,994.0,138.0,201.0,1499.0,320.0,,9.0,,,,,
131419,317.0,475.0,1394.0,4.0,493.0,472.0,192.0,746.0,419.0,,,,,,,
131722,54.0,11.0,347.0,1.0,39.0,317.0,1008.0,21.0,99.0,1.0,12.0,,,,,
131823,546.0,1830.0,1084.0,2.0,951.0,128.0,1028.0,1144.0,1194.0,10.0,,537.0,,,,1.0
131924,2.0,46.0,254.0,1.0,8.0,24.0,970.0,3174.0,1715.0,,404.0,,,,,
132017,11.0,254.0,340.0,5.0,798.0,981.0,1517.0,1516.0,555.0,2.0,24.0,,,2.0,2.0,
132118,,35.0,737.0,,61.0,264.0,91.0,994.0,413.0,,,,,,,
133019,7.0,43.0,668.0,,128.0,751.0,1048.0,2313.0,1429.0,,3.0,,,,,
133625,9.0,623.0,183.0,73.0,840.0,1156.0,2670.0,1934.0,2957.0,9.0,59.0,,,,,
133827,411.0,1108.0,718.0,,1645.0,445.0,502.0,571.0,622.0,66.0,,91.0,,,,
133928,1.0,88.0,528.0,9.0,99.0,15.0,94.0,98.0,14.0,,1.0,,,,,
134021,169.0,389.0,1472.0,23.0,620.0,263.0,516.0,980.0,631.0,1.0,2.0,15.0,,,8.0,7.0
134223,931.0,385.0,1392.0,18.0,459.0,1070.0,737.0,1086.0,901.0,,28.0,,,,,
134324,427.0,218.0,524.0,,496.0,426.0,98.0,728.0,67.0,,13.0,1.0,,1.0,23.0,
134425,224.0,383.0,1012.0,417.0,1154.0,326.0,372.0,714.0,535.0,,223.0,25.0,7.0,1.0,17.0,8.0
135124,103.0,196.0,970.0,,274.0,88.0,1480.0,1628.0,9781.0,,18.0,,,,1.0,
135225,157.0,489.0,364.0,,859.0,33.0,7.0,140.0,222.0,5.0,18.0,12.0,,,,
135528,3.0,15.0,34.0,,5.0,205.0,65.0,787.0,309.0,,1.0,,,,,
135629,408.0,596.0,1855.0,7.0,801.0,798.0,157.0,1717.0,261.0,30.0,,65.0,,1.0,,1.0
135730,15.0,1220.0,385.0,,314.0,51.0,374.0,666.0,352.0,,2.0,,,,,
135932,333.0,280.0,744.0,,127.0,308.0,1.0,752.0,5.0,,,,,,,
136227,477.0,3091.0,2047.0,,3379.0,931.0,1290.0,1598.0,1110.0,7.0,,7.0,2.0,,8.0,1.0
136732,297.0,421.0,1497.0,33.0,429.0,112.0,702.0,1123.0,394.0,3.0,3.0,30.0,,,,
136833,392.0,610.0,1057.0,,410.0,123.0,,658.0,1.0,,1.0,1.0,,,,
137027,1083.0,1007.0,1309.0,2.0,524.0,2831.0,1486.0,4144.0,1362.0,32.0,,113.0,49.0,35.0,3.0,27.0
137229,140.0,38.0,2804.0,,484.0,32.0,32.0,640.0,33.0,,,,,,,
137431,59.0,180.0,343.0,1.0,800.0,192.0,1863.0,561.0,1670.0,1.0,1.0,2.0,,45.0,18.0,
137532,13.0,150.0,73.0,,168.0,436.0,3339.0,1231.0,2836.0,122.0,2.0,10.0,,,,
137633,832.0,2249.0,2665.0,2.0,963.0,4.0,1538.0,501.0,770.0,43.0,,19.0,5.0,3.0,4.0,11.0
137936,66.0,158.0,927.0,,37.0,44.0,4.0,194.0,7.0,,,,,,,
138231,61.0,610.0,876.0,88.0,328.0,354.0,294.0,995.0,612.0,,81.0,4.0,,,,
138332,50.0,628.0,668.0,,1134.0,45.0,72.0,114.0,45.0,,,,,,,
138534,502.0,396.0,2425.0,85.0,536.0,339.0,121.0,688.0,674.0,,11.0,,9.0,9.0,33.0,8.0
138837,64.0,124.0,745.0,,80.0,81.0,238.0,397.0,223.0,,1.0,,,,,
139435,19.0,200.0,40.0,28.0,568.0,317.0,476.0,638.0,81.0,,29.0,37.0,,,,
139839,7.0,30.0,118.0,32.0,123.0,5.0,84.0,1070.0,938.0,,,29.0,,,3.0,
140319,59.0,183.0,1215.0,,436.0,420.0,248.0,2268.0,1131.0,26.0,,142.0,,,7.0,2.0
140420,69.0,1014.0,382.0,6.0,747.0,119.0,638.0,441.0,734.0,1.0,19.0,1.0,,2.0,5.0,
140824,55.0,775.0,1921.0,14.0,1665.0,,87.0,553.0,109.0,,,,,,2.0,
